



เลขที่ใบสำคัญจ่าย# เลขที่เช็ค# เลขที่เอกสาร#           วันที่ในเช็ค#      ชื่อในเช็ค#      จำนวนเงิน#    ธนาคาร

100211 # 1134940 #ศธ577400/651/2559 #30-09-16 # DIP Non Food # 35,100.00   # B#ออมสิน-ท่าศาลา
99888  # 10704844 #ศธ572100/650 #22-09-16 # Mr.SK MD SAEEF UL HOUQE CHISHTY # 5,000.00    # B#ออมสิน-ท่าศาลา
100305 # 11134962 #ศธ572100/699 #02-10-16 # WU56107 - อรรถวดี   แซ่หยุ่น # 250,000.00     # B#ออมสิน-ท่าศาลา
99868  # 10704829 #ศธ572100/647 #22-09-16 # WU58114 - บุญส่ง    หวังสินทวีกุล # 125,000.00      # B#ออมสิน-ท่าศาลา
99968  # 11134896 #ศธ572100/648 #26-09-16 # กลุ่มวิจัยการดูแลสุขภาวะชุมชน # 50,000.00          # B#ออมสิน-ท่าศาลา
100154 # 11134929 #ศธ572100/684 #28-09-16 # กลุ่มวิจัยนวัตกรรมด้านการจัดการฯ # 50,000.00          # B#ออมสิน-ท่าศาลา
100545 # 11134996 #ศธ57040306/2889 #05-10-16 # งานบริการสุขภาพ(เงินประกันอุบัติเหตุ) # 120,130.73          # B#ออมสิน-ท่าศาลา
100545 # 11134996 #ศธ57040306/2890 #05-10-16 # งานบริการสุขภาพ(เงินประกันอุบัติเหตุ) # 120,130.73          # B#ออมสิน-ท่าศาลา
100556 # 10058013 #ศธ57041001/2416 #05-10-16 # ด.ต.การุณ พุทธคุ้ม # 406,168.22      # A#กรุงไทย-ท่าศาลา
99690  # 10704780 #ศธ572100/619 #16-09-16 # ดร.ธัญวัฒน์ ลิมปิติ # 50,000.00         # B#ออมสิน-ท่าศาลา
100425 # 10057920 #ศธ57041001/2706/2559 #03-10-16 # น.ส.กษิญา เก้าเอี้ยน # 43,780.00       # A#กรุงไทย-ท่าศาลา
100342 # 10057294 #K2427/59 #02-10-16 # น.ส.สุนิสา โคจีจุล # 2,200.00        # A#กรุงไทย-ท่าศาลา
100564 # 10081988 #ศธ570412/290/2559 #05-10-16 # นางกาญจนา จิตวิโชติ # 6,816.00       # C#กรุงไทย-อนุสาวรีย์ชัยสมรภูมิ
100637 # 10058075 #ศธ57510511/1283/2559 #07-10-16 # นางนฤมล มาแทน # 11,694.00   # A#กรุงไทย-ท่าศาลา
100652 # 10058084 #66/60 #10-10-16 # นางรุ่งรวี จิตภักดี # 28,683.00         # A#กรุงไทย-ท่าศาลา
100649 # 11135011 #76/60 #07-10-16 # นางสาวชาลิพักตร์ ศักดิ์เพชร # 26,200.00         # B#ออมสิน-ท่าศาลา
100654 # 10058086 #ศธ57429000/1757/2559 #10-10-16 # นางสาวปนัดดา พิบูลย์ # 34,894.00       # A#กรุงไทย-ท่าศาลา
100656 # 10081991 #K2422/59 #10-10-16 # นางสาวพรรณทิพย์ พิพัฒน์กุล # 1,411.25          # C#กรุงไทย-อนุสาวรีย์ชัยสมรภูมิ
